Date,Close
2017-01-03,100.0000
2017-01-04,100.3466
2017-01-05,101.6488
2017-01-06,100.2249
2017-01-09,101.6719
2017-01-10,101.6856
2017-01-11,101.0743
2017-01-12,100.4643
2017-01-13,99.6294
2017-01-16,99.4990
2017-01-17,100.2331
2017-01-18,100.7663
2017-01-19,101.3473
2017-01-20,100.0026
2017-01-23,98.7758
2017-01-24,100.0930
2017-01-25,100.9430
2017-01-26,102.8176
2017-01-27,103.8956
2017-01-30,103.0814
2017-01-31,104.2265
2017-02-01,104.8190
2017-02-02,105.0584
2017-02-03,104.4098
2017-02-06,104.4667
2017-02-07,104.3955
2017-02-08,105.2163
2017-02-09,105.3786
2017-02-10,106.8109
2017-02-13,106.1910
2017-02-14,106.6571
2017-02-15,107.1496
2017-02-16,106.4494
2017-02-17,105.4797
2017-02-20,106.4144
2017-02-21,106.9221
2017-02-22,106.8356
2017-02-23,107.2372
2017-02-24,106.7014
2017-02-27,106.9657
2017-02-28,106.4925
2017-03-01,106.7130
2017-03-02,107.6344
2017-03-03,107.3915
2017-03-06,108.1979
2017-03-07,107.3414
2017-03-08,107.1441
2017-03-09,106.0086
2017-03-10,105.9766
2017-03-13,106.1003
2017-03-14,105.9843
2017-03-15,105.8075
2017-03-16,107.0310
2017-03-17,108.3428
2017-03-20,107.3256
2017-03-21,108.4191
2017-03-22,106.9558
2017-03-23,106.3699
2017-03-24,106.2744
2017-03-27,106.4266
2017-03-28,105.5728
2017-03-29,105.0048
2017-03-30,105.1256
2017-03-31,104.5849
2017-04-03,104.0915
2017-04-04,104.7156
2017-04-05,105.5728
2017-04-06,105.5760
2017-04-07,105.6468
2017-04-10,105.6850
2017-04-11,105.3474
2017-04-12,104.9619
2017-04-13,104.1280
2017-04-14,104.7371
2017-04-17,104.7196
2017-04-18,104.6564
2017-04-19,104.8831
2017-04-20,105.3949
2017-04-21,106.6843
2017-04-24,106.5011
2017-04-25,106.2073
2017-04-26,106.4374
2017-04-27,105.7582
2017-04-28,106.9218
2017-05-01,107.7921
2017-05-02,108.4630
2017-05-03,108.4134
2017-05-04,109.1290
2017-05-05,110.1290
2017-05-08,110.6386
2017-05-09,110.4428
2017-05-10,108.9861
2017-05-11,109.8919
2017-05-12,109.6317
2017-05-15,108.9341
2017-05-16,109.7888
2017-05-17,110.1507
2017-05-18,108.9351
2017-05-19,108.9037
2017-05-22,108.7205
2017-05-23,109.6651
2017-05-24,108.0327
2017-05-25,107.7484
2017-05-26,107.6826
2017-05-29,108.9981
2017-05-30,108.0917
2017-05-31,105.5751
2017-06-01,104.4397
2017-06-02,104.7196
2017-06-05,105.4713
2017-06-06,107.0351
2017-06-07,107.4432
2017-06-08,106.7953
2017-06-09,107.6277
2017-06-12,107.6742
2017-06-13,107.5533
2017-06-14,107.6249
2017-06-15,108.8109
2017-06-16,108.0670
2017-06-19,107.2206
2017-06-20,107.2182
2017-06-21,107.2157
2017-06-22,106.5586
2017-06-23,105.8491
2017-06-26,106.2325
2017-06-27,107.4588
2017-06-28,108.1445
